dataset,eval_model,model,score,attack,adv_a_position,removal,defense,adv_per_query,M,repeat,no_questions,both_sides,total_topk_num,total_adv_num,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
msmarco,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.02%,31.26,77.00%,11.00%,0.08%,0.97%
msmarco,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.11%,29.64,65.00%,23.00%,0.22%,0.81%
msmarco,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.42%,31.49,35.00%,61.00%,0.25%,0.29%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.44%,30.88,35.00%,61.00%,0.08%,0.26%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.44%,66.92,80.00%,16.00%,0.08%,0.26%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.02%,37.90,80.00%,9.00%,0.07%,0.97%
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.04%,41.03,79.00%,8.00%,0.03%,0.93%
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.11%,34.06,76.00%,14.00%,0.19%,0.81%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.02%,89.32,85.00%,8.00%,0.07%,0.97%
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.04%,74.79,82.00%,9.00%,0.03%,0.93%
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.11%,66.07,87.00%,7.00%,0.19%,0.81%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.02%,30.73,80.00%,9.00%,0.08%,0.97%
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.05%,33.00,78.00%,9.00%,0.16%,0.92%
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.11%,31.40,74.00%,15.00%,0.22%,0.81%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.42%,33.90,40.00%,56.00%,0.25%,0.29%
nq,contriever,meta,dot,LM_targeted,end,none,conflict,3,10,10,1,0,500,300,0.58%,37.40,80.00%,12.00%,,
nq,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.01%,171.59,65.00%,4.00%,0.03%,0.98%
nq,contriever,meta,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.01%,271.74,83.00%,2.00%,0.03%,0.98%
nq,contriever,meta,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.03%,262.93,85.00%,1.00%,0.03%,0.95%
nq,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.03%,221.17,66.00%,10.00%,0.03%,0.95%
nq,contriever,meta,dot,LM_targeted,start,drift,none,3,10,10,1,0,500,300,0.57%,36.16,30.00%,65.00%,0.04%,0.03%
nq,contriever,meta,dot,LM_targeted,end,none,none,3,10,10,1,0,500,300,0.58%,4.93,25.00%,70.00%,,
nq,contriever,meta,dot,LM_targeted,start,none,conflict,3,10,10,1,0,500,300,0.59%,34.26,86.00%,9.00%,,
nq,contriever,meta,dot,LM_targeted,start,none,none,3,10,10,1,0,500,300,0.59%,4.31,27.00%,68.00%,,
nq,contriever,meta,dot,hotflip,start,none,none,3,10,10,1,0,500,300,0.60%,6.83,18.00%,81.00%,,
nq,contriever,meta,dot,hotflip,end,none,none,3,10,10,1,0,500,300,0.60%,6.62,17.00%,81.00%,,
nq,contriever,meta,dot,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.60%,43.47,82.00%,12.00%,,
nq,contriever,meta,dot,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.60%,37.79,82.00%,12.00%,,
nq,contriever,meta,dot,LM_targeted,end,drift,none,3,10,10,1,0,500,300,0.58%,67.51,25.00%,70.00%,0.04%,0.00%
nq,contriever,meta,dot,LM_targeted,start,drift,conflict,3,10,10,1,0,500,300,0.57%,78.27,83.00%,11.00%,0.04%,0.03%
nq,contriever,meta,dot,LM_targeted,end,drift,conflict,3,10,10,1,0,500,300,0.58%,69.75,81.00%,13.00%,0.04%,0.00%
nq,contriever,meta,dot,LM_targeted,start,kmeans_ngram,none,3,10,10,1,0,500,300,0.00%,19.08,64.00%,1.00%,0.13%,1.00%
nq,contriever,meta,dot,LM_targeted,end,kmeans_ngram,none,3,10,10,1,0,500,300,0.00%,16.82,64.00%,1.00%,0.12%,1.00%
nq,contriever,meta,dot,LM_targeted,start,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.00%,57.05,85.00%,1.00%,0.13%,1.00%
nq,contriever,meta,dot,LM_targeted,end,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.00%,59.08,83.00%,3.00%,0.12%,1.00%
nq,contriever,meta,cos,hotflip,start,none,conflict,3,10,10,1,0,500,300,0.58%,33.68,81.00%,13.00%,,
nq,contriever,meta,cos,hotflip,end,none,none,3,10,10,1,0,500,300,0.60%,3.38,18.00%,81.00%,,
nq,contriever,meta,cos,hotflip,start,none,none,3,10,10,1,0,500,300,0.58%,8.13,10.00%,88.00%,,
nq,contriever,meta,cos,hotflip,end,none,conflict,3,10,10,1,0,500,300,0.60%,35.15,81.00%,10.00%,,
nq,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.17%,39.33,42.00%,41.00%,0.27%,0.72%
nq,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.42%,31.54,22.00%,69.00%,0.20%,0.29%
nq,contriever,meta,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.17%,75.99,82.00%,8.00%,0.27%,0.72%
nq,contriever,meta,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.42%,57.73,80.00%,7.00%,0.20%,0.29%
nq,contriever,meta,cos,hotflip,start,kmeans_ngram,none,3,10,10,1,0,500,300,0.01%,9.72,61.00%,7.00%,0.24%,0.98%
nq,contriever,meta,cos,hotflip,end,kmeans_ngram,none,3,10,10,1,0,500,300,0.00%,9.64,62.00%,3.00%,0.23%,0.99%
nq,contriever,meta,cos,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.01%,47.22,82.00%,2.00%,0.24%,0.98%
nq,contriever,meta,cos,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,500,300,0.00%,46.91,82.00%,2.00%,0.23%,0.99%
nq,contriever,meta,dot,hotflip,end,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
nq,contriever,meta,dot,hotflip,start,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
nq,contriever,meta,dot,hotflip,end,kmeans_ngram,none,3,10,10,1,0,,,,,,,,
nq,contriever,meta,dot,hotflip,start,kmeans_ngram,conflict,3,10,10,1,0,,,,,,,,
nq,contriever,meta,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.03%,37.45,65.00%,8.00%,0.11%,0.95%
nq,contriever,meta,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.01%,36.17,67.00%,5.00%,0.06%,0.98%
nq,contriever,meta,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.16%,39.44,42.00%,46.00%,0.33%,0.73%
nq,contriever,meta,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.40%,28.64,20.00%,71.00%,0.38%,0.32%
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.01%,67.88,70.00%,3.00%,0.04%,0.98%
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.42%,63.63,67.00%,15.00%,0.20%,0.29%
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,0,500,300,0.01%,35.91,68.00%,2.00%,0.04%,0.98%
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,0,500,300,0.03%,36.33,72.00%,4.00%,0.04%,0.95%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,0,500,300,0.17%,29.09,41.00%,37.00%,0.27%,0.72%
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,0,500,300,0.42%,25.91,22.00%,65.00%,0.20%,0.29%
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,conflict,3,10,10,1,0,500,300,0.03%,79.27,69.00%,2.00%,0.04%,0.95%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,conflict,3,10,10,1,0,500,300,0.17%,55.68,66.00%,11.00%,0.27%,0.72%
nq,contriever,mistralai/Mistral,dot,hotflip,end,drift,none,3,10,10,1,1,500,300,0.03%,39.36,69.00%,4.00%,0.11%,0.95%
nq,contriever,mistralai/Mistral,dot,hotflip,start,drift,none,3,10,10,1,1,500,300,0.01%,58.35,66.00%,2.00%,0.06%,0.98%
nq,contriever,mistralai/Mistral,cos,hotflip,start,drift,none,3,10,10,1,1,500,300,0.16%,28.77,38.00%,40.00%,0.33%,0.73%
nq,contriever,mistralai/Mistral,cos,hotflip,end,drift,none,3,10,10,1,1,500,300,0.40%,43.96,23.00%,63.00%,0.38%,0.32%
nq,contriever,mistralai/Mistral,dot,hotflip,end,none,none,3,10,10,1,1,,,,,,,,
nq,contriever,mistralai/Mistral,cos,hotflip,end,none,none,3,10,10,1,1,,,,,,,,
