dataset,eval_model,model,score,attack,adv_a_position,removal,adv_per_query,success_injection_rate,inference_time,correct_answer_pct,incorrect_answer_pct,false_removal_rate,success_removal_rate
msmarco,contriever,meta,dot,hotflip,start,none,3,0.59%,4.27,21.00%,75.00%,,
msmarco,contriever,meta,dot,hotflip,end,none,3,0.59%,3.97,27.00%,69.00%,,
msmarco,contriever,meta,cos,hotflip,start,none,3,0.50%,3.54,26.00%,69.00%,,
msmarco,contriever,meta,cos,hotflip,end,none,3,0.58%,4.77,23.00%,71.00%,,
msmarco,contriever,meta,dot,none,end,none,3,0.00%,5.44,79.00%,5.00%,,
msmarco,contriever,meta,dot,none,start,none,3,0.00%,5.38,79.00%,5.00%,,
msmarco,contriever,meta,cos,none,end,none,3,0.00%,4.10,80.00%,5.00%,,
msmarco,contriever,meta,cos,none,start,none,3,0.00%,4.21,80.00%,5.00%,,
msmarco,contriever,meta,dot,none,start,drift,3,0.00%,22.98,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,dot,none,end,drift,3,0.00%,21.53,80.00%,5.00%,0.09%,1.00%
msmarco,contriever,meta,cos,none,start,drift,3,0.00%,21.43,77.00%,5.00%,0.25%,1.00%
msmarco,contriever,meta,cos,none,end,drift,3,0.00%,4.37,80.00%,5.00%,0.00%,1.00%
msmarco,contriever,meta,dot,none,start,kmeans_ngram,3,0.00%,8.97,80.00%,6.00%,0.30%,1.00%
msmarco,contriever,meta,cos,none,start,kmeans_ngram,3,0.00%,7.74,82.00%,5.00%,0.43%,1.00%
msmarco,contriever,meta,cos,none,end,kmeans_ngram,3,0.00%,3.92,80.00%,5.00%,0.00%,1.00%
msmarco,contriever,meta,dot,none,end,kmeans_ngram,3,0.00%,8.88,80.00%,6.00%,0.30%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,start,all,3,0.00%,2.27,75.00%,6.00%,,
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,drift,3,0.02%,30.70,80.00%,9.00%,0.08%,0.97%
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,drift,3,0.05%,33.25,77.00%,10.00%,0.16%,0.92%
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,drift,3,0.11%,31.99,74.00%,14.00%,0.22%,0.81%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,drift,3,0.42%,20.55,40.00%,56.00%,0.25%,0.29%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,kmeans_ngram,3,,,,,,
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,kmeans_ngram,3,,,,,,
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,kmeans_ngram,3,0.04%,9.28,78.00%,9.00%,0.45%,0.93%
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,kmeans_ngram,3,0.03%,9.97,81.00%,7.00%,0.47%,0.95%
msmarco,contriever,mistralai/Mistral,dot,hotflip,start,none,3,0.59%,6.06,31.00%,64.00%,,
msmarco,contriever,mistralai/Mistral,dot,hotflip,end,none,3,0.59%,5.52,27.00%,68.00%,,
msmarco,contriever,mistralai/Mistral,cos,hotflip,start,none,3,0.50%,5.21,34.00%,63.00%,,
msmarco,contriever,mistralai/Mistral,cos,hotflip,end,none,3,0.58%,5.44,24.00%,73.00%,,
msmarco,contriever,mistralai/Mistral,dot,none,start,none,3,0.00%,7.21,84.00%,3.00%,,
msmarco,contriever,mistralai/Mistral,cos,none,start,none,3,0.00%,5.95,83.00%,3.00%,,
msmarco,contriever,mistralai/Mistral,cos,none,end,none,3,0.00%,5.97,83.00%,3.00%,,
msmarco,contriever,mistralai/Mistral,dot,none,start,drift,3,0.00%,22.46,84.00%,4.00%,0.09%,1.00%
msmarco,contriever,mistralai/Mistral,dot,none,end,drift,3,0.00%,22.49,84.00%,4.00%,0.09%,1.00%
msmarco,contriever,mistralai/Mistral,cos,none,start,drift,3,0.00%,21.94,80.00%,4.00%,0.25%,1.00%
msmarco,contriever,mistralai/Mistral,cos,none,end,drift,3,0.00%,5.70,83.00%,3.00%,0.00%,1.00%
